2026-02-01T09:15:00,CUST001,BEV-001
2026-03-08T05:32:22.630118500,CUST002,FOOD-002
2026-03-08T05:32:22.630118500,CUST002,OTH-001
2026-03-08T05:46:04.271109500,CUST003,FOOD-001
2026-03-09T01:17:31.856652500,CUST004,FOOD-002
2026-03-09T01:17:31.856652500,CUST004,OTH-002
2026-03-09T01:24:59.711977800,CUST005,FOOD-002
2026-03-09T01:33:41.813785500,CUST006,BEV-002
2026-03-09T01:33:41.813785500,CUST006,OTH-001
2026-03-09T01:37:51.449563500,CUST007,FOOD-002
2026-03-09T01:37:51.449563500,CUST007,OTH-001
2026-03-09T01:38:02.334236,CUST008,BEV-001
2026-03-09T01:38:02.334236,CUST008,FOOD-003
2026-03-09T01:38:02.334236,CUST008,FOOD-001
2026-03-09T01:38:02.334236,CUST008,OTH-002
2026-03-09T01:38:02.334236,CUST008,BEV-002
2026-03-09T01:40:14.696346100,CUST009,FOOD-003
2026-03-09T01:40:14.696346100,CUST009,OTH-001
2026-03-09T01:40:14.696346100,CUST009,BEV-001
2026-03-09T01:40:14.696346100,CUST009,BEV-002
2026-03-09T01:40:14.696346100,CUST009,FOOD-001
2026-03-09T01:40:14.696346100,CUST009,FOOD-002
